,kod,ido,konverzio,koncentracio,mertekegyseg,oldoszer
635,750,1.25,49.87716717,20,%,TWEEN 80
642,741,1.5,47.40979942,37.3,%,HEPES
643,742,1.5,46.76132636,10,%,DMSO
644,743,1.5,25.10209393,20,%,DMSO
645,744,1.5,6.939217082,30,%,DMSO
646,745,1.5,49.48671536,10,%,glycerol
647,746,1.5,45.90313183,20,%,glycerol
648,747,1.5,46.4272961,30,%,glycerol
649,748,1.5,48.97729359,5,%,TWEEN 80
650,749,1.5,49.79107014,10,%,TWEEN 80
651,750,1.5,49.72321245,20,%,TWEEN 80
658,741,1.75,47.52910211,37.3,%,HEPES
659,742,1.75,45.48959283,10,%,DMSO
660,743,1.75,25.53325286,20,%,DMSO
661,744,1.75,7.127093215,30,%,DMSO
662,745,1.75,49.69470397,10,%,glycerol
663,746,1.75,48.69758074,20,%,glycerol
664,747,1.75,46.86376721,30,%,glycerol
665,748,1.75,49.62266637,5,%,TWEEN 80
666,749,1.75,49.86731894,10,%,TWEEN 80
667,750,1.75,50,20,%,TWEEN 80
674,741,2,47.34936643,37.3,%,HEPES
675,742,2,45.7554283,10,%,DMSO
676,743,2,25.7850003,20,%,DMSO
677,744,2,7.346174073,30,%,DMSO
678,745,2,49.59845893,10,%,glycerol
679,746,2,48.79732187,20,%,glycerol
680,747,2,46.94169577,30,%,glycerol
681,748,2,49.74222489,5,%,TWEEN 80
682,749,2,50,10,%,TWEEN 80
683,750,2,49.77903695,20,%,TWEEN 80
687,751,0.25,31.55842587,37.3,%,HEPES
688,752,0.25,24.94403066,10,%,DMSO
689,753,0.25,17.82117463,20,%,DMSO
690,754,0.25,5.446410999,30,%,DMSO
691,755,0.25,35.89947738,10,%,ethylene glycol
692,756,0.25,33.85484547,20,%,ethylene glycol
693,757,0.25,28.48319132,30,%,ethylene glycol
694,758,0.25,34.80180324,10,%,PEG
695,759,0.25,36.51471797,20,%,PEG
696,760,0.25,13.88413825,30,%,PEG
703,751,0.5,42.00211783,37.3,%,HEPES
704,752,0.5,34.64168849,10,%,DMSO
705,753,0.5,20.59096761,20,%,DMSO
706,754,0.5,5.615326425,30,%,DMSO
707,755,0.5,44.191175,10,%,ethylene glycol
708,756,0.5,41.37659016,20,%,ethylene glycol
709,757,0.5,33.60567463,30,%,ethylene glycol
710,758,0.5,43.08021613,10,%,PEG
711,759,0.5,38.71016784,20,%,PEG
712,760,0.5,30.84191,30,%,PEG
719,751,0.75,45.25025268,37.3,%,HEPES
720,752,0.75,38.52005124,10,%,DMSO
721,753,0.75,21.98303339,20,%,DMSO
722,754,0.75,5.309531569,30,%,DMSO
723,755,0.75,46.69252536,10,%,ethylene glycol
724,756,0.75,43.68804893,20,%,ethylene glycol
725,757,0.75,35.67773563,30,%,ethylene glycol
726,758,0.75,45.9144345,10,%,PEG
727,759,0.75,41.4206365,20,%,PEG
728,760,0.75,35.08045433,30,%,PEG
735,751,1,47.51963231,37.3,%,HEPES
736,752,1,40.69890477,10,%,DMSO
737,753,1,23.08182005,20,%,DMSO
738,754,1,5.518398286,30,%,DMSO
739,755,1,47.82364479,10,%,ethylene glycol
740,756,1,44.59128073,20,%,ethylene glycol
741,757,1,36.0181395,30,%,ethylene glycol
742,758,1,47.6127984,10,%,PEG
743,759,1,44.8272016,20,%,PEG
744,760,1,41.72508382,30,%,PEG
751,751,1.25,48.46826366,37.3,%,HEPES
752,752,1.25,42.08979171,10,%,DMSO
753,753,1.25,24.01148153,20,%,DMSO
754,754,1.25,5.558837563,30,%,DMSO
755,755,1.25,48.50732048,10,%,ethylene glycol
756,756,1.25,45.11645963,20,%,ethylene glycol
757,757,1.25,36.43491814,30,%,ethylene glycol
758,758,1.25,48.38494418,10,%,PEG
759,759,1.25,46.60952392,20,%,PEG
760,760,1.25,44.12725042,30,%,PEG
767,751,1.5,48.99705664,37.3,%,HEPES
768,752,1.5,43.26071938,10,%,DMSO
769,753,1.5,24.82789688,20,%,DMSO
770,754,1.5,5.556794736,30,%,DMSO
771,755,1.5,48.8575983,10,%,ethylene glycol
772,756,1.5,45.40332244,20,%,ethylene glycol
773,757,1.5,36.49955532,30,%,ethylene glycol
774,758,1.5,48.79912269,10,%,PEG
775,759,1.5,47.18903622,20,%,PEG
776,760,1.5,45.87032799,30,%,PEG
783,751,1.75,49.31804477,37.3,%,HEPES
784,752,1.75,44.27295171,10,%,DMSO
785,753,1.75,25.40531121,20,%,DMSO
786,754,1.75,5.674900326,30,%,DMSO
787,755,1.75,49.0612053,10,%,ethylene glycol
788,756,1.75,45.63348643,20,%,ethylene glycol
789,757,1.75,36.7541294,30,%,ethylene glycol
790,758,1.75,49.00828357,10,%,PEG
791,759,1.75,47.33629911,20,%,PEG
792,760,1.75,45.7747883,30,%,PEG
799,751,2,49.50834991,37.3,%,HEPES
800,752,2,45.00869271,10,%,DMSO
801,753,2,26.0090203,20,%,DMSO
802,754,2,5.454180345,30,%,DMSO
803,755,2,49.07670944,10,%,ethylene glycol
804,756,2,45.94571965,20,%,ethylene glycol
805,757,2,36.71919171,30,%,ethylene glycol
806,758,2,49.14531151,10,%,PEG
807,759,2,47.7332213,20,%,PEG
808,760,2,46.07733015,30,%,PEG
