kod,ido,ACF,AR,AS,konverzio,kozeg
759,1.5,21059.1,959.5,17067.1,47.18903622,20% PEG
760,1.5,20489.9,1353.5,16387.5,45.87032799,30% PEG
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
751,1.75,21662.6,230.7,16914.6,49.31804477,37.3% HEPES
752,1.75,20119.6,1934.7,16890.9,44.27295171,10% DMSO
753,1.75,14163.5,8750.2,17788.8,25.40531121,20% DMSO
754,1.75,3358.5,15698,17707.8,5.674900326,30% DMSO
755,1.75,20542.3,319.5,17016.5,49.0612053,10% ethylene glycol
756,1.75,21093.3,1570.6,17984.6,45.63348643,20% ethylene glycol
757,1.75,18892.2,4085,15419.9,36.7541294,30% ethylene glycol
758,1.75,21201.6,334.5,16864.7,49.00828357,10% PEG
759,1.75,21948.5,920.9,17286.1,47.33629911,20% PEG
760,1.75,21156,1441,17052.4,45.7747883,30% PEG
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
751,2,22004.8,163.1,16587,49.50834991,37.3% HEPES
752,2,20085.7,1711.1,17140.8,45.00869271,10% DMSO
753,2,13828.3,8117.3,16917.4,26.0090203,20% DMSO
754,2,3415.2,15306.3,17180.4,5.454180345,30% DMSO
755,2,20914.1,348.4,18867.3,49.07670944,10% ethylene glycol
756,2,20401.9,1355.8,16720.6,45.94571965,20% ethylene glycol
757,2,17908.4,5073.8,19102,36.71919171,30% ethylene glycol
758,2,21005.4,295.3,17275.3,49.14531151,10% PEG
759,2,21230.9,798.5,17613.1,47.7332213,20% PEG
760,2,21012.2,1355,17271.4,46.07733015,30% PEG
